,filename,Zero Crossing Rate,RMS Amplitude,Spectral Centroid,Spectral Bandwidth,Spectral Roll-Off,Spectral Flatness,MFCC1,MFCC2,Chroma Features,Tempo (BPM)
0,m00003.wav,0.12011605459686775,0.13622084,2254.6069856925624,2071.0284397291894,4381.532206170244,0.0090726,-82.511116,97.34172,0.57193977,135.99917763157896
1,m00012.wav,0.1781082330336427,0.21747482,2908.3001308408593,2286.2525915365336,5405.816551261601,0.026372837,-1.9132981,72.68616,0.53388125,103.359375
2,m00013.wav,0.12342262120552977,0.029083412,1952.607933315679,1865.9960470793596,3779.909832239704,0.002210991,-287.6037,101.75817,0.38515547,95.703125
3,m00043.wav,0.12607323690061872,0.10041095,2384.6349583424853,2072.759899530161,4584.132502084542,0.008829812,-120.14749,91.317215,0.5571085,135.99917763157896
4,m00044.wav,0.05208824258023975,0.018832877,790.5070053578897,900.4092978379986,1159.412272513051,0.00015336029,-437.6044,170.93153,0.3322147,107.666015625
5,m00055.wav,0.06617287195475638,0.18395777,1900.3844542030547,2420.0936287841605,4189.7318191705335,0.016659072,-111.209496,103.16529,0.34310803,107.666015625
6,m00061.wav,0.1416087375531709,0.091984704,2644.877602637342,2268.1246416585423,5176.9201008736945,0.014119417,-105.01983,80.71132,0.5986692,172.265625
7,m00063.wav,0.16831088674593966,0.06945514,2939.5934644365843,2522.7640637193963,5806.928665621374,0.03174679,-108.10116,65.7679,0.6398014,151.99908088235293
8,m00069.wav,0.059409440255220415,0.015997374,1282.327530288566,1503.4940090829555,2441.9035378299013,0.00086813385,-419.33255,127.41256,0.34316295,123.046875
9,m00074.wav,0.08767017105137509,0.13828577,1462.383564752607,1556.0280335746193,2740.2111359458554,0.0028083706,-121.83351,149.66736,0.34717205,107.666015625
10,m00107.wav,0.14056155742459397,0.058365826,2966.002257457456,2759.0013961515715,6189.363682297709,0.04424393,-149.9959,67.87112,0.47169003,117.45383522727273
11,m00114.wav,0.12735455034319412,0.21573293,3151.3426231432663,3220.369558586063,7293.569018724623,0.057108466,-45.02928,69.7547,0.5035095,112.34714673913044
12,m00127.wav,0.03153360341744006,0.0052698436,973.5355866462949,1617.4966766460027,1910.8094819460557,0.0013563343,-549.5697,156.96532,0.40759292,123.046875
13,m00137.wav,0.18515413524748647,0.13245592,3593.770316589631,3171.001978737726,7634.611323593387,0.10665849,-50.462906,56.434635,0.45896393,129.19921875
14,m00139.wav,0.1549981420388631,0.245588,3262.9888387042474,2931.274188979255,6715.594864776682,0.072910875,-29.299528,53.877113,0.5411662,129.19921875
15,m00148.wav,0.10568551213263727,0.18959826,2927.989977321795,3200.8357557441045,6815.933262942285,0.033660278,-106.827194,81.033424,0.46342415,151.99908088235293
16,m00149.wav,0.10796566850348027,0.17008242,2375.371970892923,2231.730875808409,4898.1542175717805,0.012127873,-66.68024,88.369576,0.55746907,143.5546875
17,m00156.wav,0.041281857236078884,0.006627279,715.8536805780461,1031.2457016093506,1038.6731211934455,0.0004137982,-552.1586,173.31636,0.28290948,135.99917763157896
18,m00183.wav,0.09999833840873937,0.25668892,2030.4879162777115,1929.8624210795074,4224.296523800029,0.0076992796,-35.695076,115.43365,0.52160233,123.046875
19,m00211.wav,0.16249154098994587,0.09689618,2792.6082418841806,2250.7128064349204,5321.340779527987,0.015646782,-100.889046,76.13688,0.5906703,143.5546875
20,m00218.wav,0.1909561098221191,0.19133395,3889.142797928619,3271.0610895919717,8055.1083168684745,0.11156915,-52.5842,37.49237,0.51385,112.34714673913044
21,m00228.wav,0.18300841671500387,0.21295623,3633.161730198139,3133.802296377424,7532.774094583817,0.099256,-26.940434,46.743637,0.5561985,117.45383522727273
22,m00247.wav,0.09328588735015468,0.16623126,2090.1932442834773,2065.3245237084266,4392.865032718242,0.0063969754,-67.92382,108.93854,0.4334741,117.45383522727273
23,m00254.wav,0.08823464991782676,0.15425298,2098.946281363983,2062.9067795246674,4449.612433838457,0.004716229,-99.87088,102.13179,0.3453035,117.45383522727273
24,m00266.wav,0.07521004024071926,0.043239165,1431.0801473589145,1558.0173771222123,2836.06274244127,0.0011695747,-264.33557,138.1797,0.35340667,143.5546875
