filename,genre
m00003.wav,hiphop
m00012.wav,hiphop
m00013.wav,country
m00043.wav,hiphop
m00044.wav,classical
m00055.wav,country
m00061.wav,hiphop
m00063.wav,hiphop
m00069.wav,classical
m00074.wav,country
m00107.wav,pop
m00114.wav,pop
m00127.wav,classical
m00137.wav,country
m00139.wav,pop
m00148.wav,pop
m00149.wav,hiphop
m00156.wav,classical
m00183.wav,hiphop
m00211.wav,hiphop
m00218.wav,country
m00228.wav,country
m00247.wav,country
m00254.wav,country
m00266.wav,classical
m00289.wav,hiphop
m00292.wav,classical
m00293.wav,hiphop
m00309.wav,country
m00318.wav,hiphop
m00321.wav,hiphop
m00323.wav,country
m00324.wav,classical
m00331.wav,classical
m00348.wav,pop
m00355.wav,country
m00356.wav,hiphop
m00357.wav,pop
m00359.wav,hiphop
m00363.wav,hiphop
m00371.wav,pop
m00372.wav,hiphop
m00391.wav,hiphop
m00393.wav,pop
m00399.wav,pop
m00405.wav,country
m00414.wav,classical
m00434.wav,classical
m00463.wav,classical
m00468.wav,classical
m00487.wav,pop
m00495.wav,classical
m00515.wav,pop
m00528.wav,hiphop
m00537.wav,classical
m00538.wav,classical
m00549.wav,classical
m00555.wav,pop
m00560.wav,classical
m00570.wav,pop
m00571.wav,classical
m00576.wav,pop
m00581.wav,hiphop
m00582.wav,country
m00589.wav,classical
m00597.wav,classical
m00610.wav,hiphop
m00616.wav,pop
m00624.wav,classical
m00635.wav,classical
m00685.wav,pop
m00705.wav,classical
m00708.wav,country
m00719.wav,pop
m00730.wav,hiphop
m00733.wav,pop
m00736.wav,country
m00755.wav,country
m00756.wav,classical
m00791.wav,pop
m00806.wav,hiphop
m00812.wav,hiphop
m00817.wav,pop
m00824.wav,pop
m00828.wav,pop
m00829.wav,hiphop
m00833.wav,pop
m00838.wav,classical
m00843.wav,pop
m00852.wav,hiphop
m00873.wav,classical
m00921.wav,country
m00927.wav,hiphop
m00928.wav,country
m00941.wav,classical
m00947.wav,pop
m00949.wav,classical
m00950.wav,pop
m00961.wav,hiphop
m00967.wav,classical
m00971.wav,classical
m00973.wav,country
m00988.wav,pop
m00991.wav,classical
m00995.wav,classical
