filename,genre
m00003.wav,hiphop
m00012.wav,hiphop
m00013.wav,country
m00043.wav,hiphop
m00044.wav,hiphop
m00055.wav,hiphop
m00061.wav,hiphop
m00063.wav,hiphop
m00069.wav,classical
m00074.wav,country
m00107.wav,hiphop
m00114.wav,hiphop
m00127.wav,hiphop
m00137.wav,hiphop
m00139.wav,hiphop
m00148.wav,country
m00149.wav,hiphop
m00156.wav,classical
m00183.wav,country
m00211.wav,hiphop
m00218.wav,hiphop
m00228.wav,hiphop
m00247.wav,hiphop
m00254.wav,hiphop
m00266.wav,hiphop
m00289.wav,hiphop
m00292.wav,hiphop
m00293.wav,hiphop
m00309.wav,country
m00318.wav,country
m00321.wav,hiphop
m00323.wav,country
m00324.wav,hiphop
m00331.wav,hiphop
m00348.wav,hiphop
m00355.wav,hiphop
m00356.wav,hiphop
m00357.wav,hiphop
m00359.wav,hiphop
m00363.wav,hiphop
m00371.wav,country
m00372.wav,hiphop
m00391.wav,country
m00393.wav,hiphop
m00399.wav,hiphop
m00405.wav,hiphop
m00414.wav,hiphop
m00434.wav,country
m00463.wav,classical
m00468.wav,classical
m00487.wav,hiphop
m00495.wav,hiphop
m00515.wav,hiphop
m00528.wav,country
m00537.wav,hiphop
m00538.wav,hiphop
m00549.wav,hiphop
m00555.wav,hiphop
m00560.wav,country
m00570.wav,hiphop
m00571.wav,classical
m00576.wav,country
m00581.wav,hiphop
m00582.wav,hiphop
m00589.wav,hiphop
m00597.wav,hiphop
m00610.wav,hiphop
m00616.wav,hiphop
m00624.wav,country
m00635.wav,classical
m00685.wav,hiphop
m00705.wav,hiphop
m00708.wav,hiphop
m00719.wav,hiphop
m00730.wav,hiphop
m00733.wav,hiphop
m00736.wav,hiphop
m00755.wav,country
m00756.wav,hiphop
m00791.wav,country
m00806.wav,country
m00812.wav,country
m00817.wav,country
m00824.wav,country
m00828.wav,country
m00829.wav,hiphop
m00833.wav,hiphop
m00838.wav,hiphop
m00843.wav,hiphop
m00852.wav,country
m00873.wav,hiphop
m00921.wav,country
m00927.wav,country
m00928.wav,hiphop
m00941.wav,hiphop
m00947.wav,hiphop
m00949.wav,country
m00950.wav,hiphop
m00961.wav,country
m00967.wav,hiphop
m00971.wav,hiphop
m00973.wav,hiphop
m00988.wav,hiphop
m00991.wav,classical
m00995.wav,hiphop
